,datasetId,startTime,endTime,value
0,244,2018-01-01T00:00:00.000Z,2018-01-01T01:00:00.000Z,30.46999
1,244,2018-01-01T01:00:00.000Z,2018-01-01T02:00:00.000Z,30.0
2,244,2018-01-01T02:00:00.000Z,2018-01-01T03:00:00.000Z,30.0
3,244,2018-01-01T03:00:00.000Z,2018-01-01T04:00:00.000Z,28.42
4,244,2018-01-01T04:00:00.000Z,2018-01-01T05:00:00.000Z,29.3
5,244,2018-01-01T05:00:00.000Z,2018-01-01T06:00:00.000Z,29.94
6,244,2018-01-01T06:00:00.000Z,2018-01-01T07:00:00.000Z,29.94
7,244,2018-01-01T07:00:00.000Z,2018-01-01T08:00:00.000Z,28.42
8,244,2018-01-01T08:00:00.000Z,2018-01-01T09:00:00.000Z,20.73
9,244,2018-01-01T09:00:00.000Z,2018-01-01T10:00:00.000Z,24.76
10,244,2018-01-01T10:00:00.000Z,2018-01-01T11:00:00.000Z,25.68
11,244,2018-01-01T11:00:00.000Z,2018-01-01T12:00:00.000Z,24.09
12,244,2018-01-01T12:00:00.000Z,2018-01-01T13:00:00.000Z,25.01
13,244,2018-01-01T13:00:00.000Z,2018-01-01T14:00:00.000Z,25.80999
14,244,2018-01-01T14:00:00.000Z,2018-01-01T15:00:00.000Z,26.46
15,244,2018-01-01T15:00:00.000Z,2018-01-01T16:00:00.000Z,28.98999
16,244,2018-01-01T16:00:00.000Z,2018-01-01T17:00:00.000Z,29.94
17,244,2018-01-01T17:00:00.000Z,2018-01-01T18:00:00.000Z,29.94
18,244,2018-01-01T18:00:00.000Z,2018-01-01T19:00:00.000Z,29.94
19,244,2018-01-01T19:00:00.000Z,2018-01-01T20:00:00.000Z,26.69999
20,244,2018-01-01T20:00:00.000Z,2018-01-01T21:00:00.000Z,26.46999
21,244,2018-01-01T21:00:00.000Z,2018-01-01T22:00:00.000Z,26.09
22,244,2018-01-01T22:00:00.000Z,2018-01-01T23:00:00.000Z,24.87999
23,244,2018-01-01T23:00:00.000Z,2018-01-02T00:00:00.000Z,25.28
24,244,2018-01-02T00:00:00.000Z,2018-01-02T01:00:00.000Z,23.16
25,244,2018-01-02T01:00:00.000Z,2018-01-02T02:00:00.000Z,24.78
26,244,2018-01-02T02:00:00.000Z,2018-01-02T03:00:00.000Z,25.03
27,244,2018-01-02T03:00:00.000Z,2018-01-02T04:00:00.000Z,25.73
28,244,2018-01-02T04:00:00.000Z,2018-01-02T05:00:00.000Z,26.84
29,244,2018-01-02T05:00:00.000Z,2018-01-02T06:00:00.000Z,27.8
30,244,2018-01-02T06:00:00.000Z,2018-01-02T07:00:00.000Z,30.5
31,244,2018-01-02T07:00:00.000Z,2018-01-02T08:00:00.000Z,31.93
32,244,2018-01-02T08:00:00.000Z,2018-01-02T09:00:00.000Z,33.53
33,244,2018-01-02T09:00:00.000Z,2018-01-02T10:00:00.000Z,35.03999
34,244,2018-01-02T10:00:00.000Z,2018-01-02T11:00:00.000Z,35.21999
35,244,2018-01-02T11:00:00.000Z,2018-01-02T12:00:00.000Z,34.56
36,244,2018-01-02T12:00:00.000Z,2018-01-02T13:00:00.000Z,34.1
37,244,2018-01-02T13:00:00.000Z,2018-01-02T14:00:00.000Z,35.97999
38,244,2018-01-02T14:00:00.000Z,2018-01-02T15:00:00.000Z,38.04999
39,244,2018-01-02T15:00:00.000Z,2018-01-02T16:00:00.000Z,41.67
40,244,2018-01-02T16:00:00.000Z,2018-01-02T17:00:00.000Z,42.39
41,244,2018-01-02T17:00:00.000Z,2018-01-02T18:00:00.000Z,37.78999
42,244,2018-01-02T18:00:00.000Z,2018-01-02T19:00:00.000Z,33.7
43,244,2018-01-02T19:00:00.000Z,2018-01-02T20:00:00.000Z,30.87999
44,244,2018-01-02T20:00:00.000Z,2018-01-02T21:00:00.000Z,28.85
45,244,2018-01-02T21:00:00.000Z,2018-01-02T22:00:00.000Z,27.98999
46,244,2018-01-02T22:00:00.000Z,2018-01-02T23:00:00.000Z,27.6
47,244,2018-01-02T23:00:00.000Z,2018-01-03T00:00:00.000Z,27.12
48,244,2018-01-03T00:00:00.000Z,2018-01-03T01:00:00.000Z,26.60999
49,244,2018-01-03T01:00:00.000Z,2018-01-03T02:00:00.000Z,26.26
50,244,2018-01-03T02:00:00.000Z,2018-01-03T03:00:00.000Z,26.23
51,244,2018-01-03T03:00:00.000Z,2018-01-03T04:00:00.000Z,26.42
52,244,2018-01-03T04:00:00.000Z,2018-01-03T05:00:00.000Z,27.46999
53,244,2018-01-03T05:00:00.000Z,2018-01-03T06:00:00.000Z,28.30999
54,244,2018-01-03T06:00:00.000Z,2018-01-03T07:00:00.000Z,28.94999
55,244,2018-01-03T07:00:00.000Z,2018-01-03T08:00:00.000Z,29.19999
56,244,2018-01-03T08:00:00.000Z,2018-01-03T09:00:00.000Z,29.28
57,244,2018-01-03T09:00:00.000Z,2018-01-03T10:00:00.000Z,29.42
58,244,2018-01-03T10:00:00.000Z,2018-01-03T11:00:00.000Z,29.25
59,244,2018-01-03T11:00:00.000Z,2018-01-03T12:00:00.000Z,29.23
60,244,2018-01-03T12:00:00.000Z,2018-01-03T13:00:00.000Z,30.67
61,244,2018-01-03T13:00:00.000Z,2018-01-03T14:00:00.000Z,32.1
62,244,2018-01-03T14:00:00.000Z,2018-01-03T15:00:00.000Z,32.1
63,244,2018-01-03T15:00:00.000Z,2018-01-03T16:00:00.000Z,32.1
64,244,2018-01-03T16:00:00.000Z,2018-01-03T17:00:00.000Z,32.60999
65,244,2018-01-03T17:00:00.000Z,2018-01-03T18:00:00.000Z,32.60999
66,244,2018-01-03T18:00:00.000Z,2018-01-03T19:00:00.000Z,32.60999
67,244,2018-01-03T19:00:00.000Z,2018-01-03T20:00:00.000Z,31.19999
68,244,2018-01-03T20:00:00.000Z,2018-01-03T21:00:00.000Z,30.5
69,244,2018-01-03T21:00:00.000Z,2018-01-03T22:00:00.000Z,30.5
70,244,2018-01-03T22:00:00.000Z,2018-01-03T23:00:00.000Z,30.5
71,244,2018-01-03T23:00:00.000Z,2018-01-04T00:00:00.000Z,31.6
72,244,2018-01-04T00:00:00.000Z,2018-01-04T01:00:00.000Z,31.6
73,244,2018-01-04T01:00:00.000Z,2018-01-04T02:00:00.000Z,31.6
74,244,2018-01-04T02:00:00.000Z,2018-01-04T03:00:00.000Z,31.6
75,244,2018-01-04T03:00:00.000Z,2018-01-04T04:00:00.000Z,30.78
76,244,2018-01-04T04:00:00.000Z,2018-01-04T05:00:00.000Z,27.01
77,244,2018-01-04T05:00:00.000Z,2018-01-04T06:00:00.000Z,28.03999
78,244,2018-01-04T06:00:00.000Z,2018-01-04T07:00:00.000Z,33.85999
79,244,2018-01-04T07:00:00.000Z,2018-01-04T08:00:00.000Z,34.89
80,244,2018-01-04T08:00:00.000Z,2018-01-04T09:00:00.000Z,36.43
81,244,2018-01-04T09:00:00.000Z,2018-01-04T10:00:00.000Z,38.0
82,244,2018-01-04T10:00:00.000Z,2018-01-04T11:00:00.000Z,37.0
83,244,2018-01-04T11:00:00.000Z,2018-01-04T12:00:00.000Z,37.07999
84,244,2018-01-04T12:00:00.000Z,2018-01-04T13:00:00.000Z,37.07999
85,244,2018-01-04T13:00:00.000Z,2018-01-04T14:00:00.000Z,37.07999
86,244,2018-01-04T14:00:00.000Z,2018-01-04T15:00:00.000Z,39.50999
87,244,2018-01-04T15:00:00.000Z,2018-01-04T16:00:00.000Z,40.0
88,244,2018-01-04T16:00:00.000Z,2018-01-04T17:00:00.000Z,39.1
89,244,2018-01-04T17:00:00.000Z,2018-01-04T18:00:00.000Z,35.03
90,244,2018-01-04T18:00:00.000Z,2018-01-04T19:00:00.000Z,32.79999
91,244,2018-01-04T19:00:00.000Z,2018-01-04T20:00:00.000Z,32.79999
92,244,2018-01-04T20:00:00.000Z,2018-01-04T21:00:00.000Z,32.0
93,244,2018-01-04T21:00:00.000Z,2018-01-04T22:00:00.000Z,31.6
94,244,2018-01-04T22:00:00.000Z,2018-01-04T23:00:00.000Z,31.6
95,244,2018-01-04T23:00:00.000Z,2018-01-05T00:00:00.000Z,28.0
96,244,2018-01-05T00:00:00.000Z,2018-01-05T01:00:00.000Z,28.0
97,244,2018-01-05T01:00:00.000Z,2018-01-05T02:00:00.000Z,28.0
98,244,2018-01-05T02:00:00.000Z,2018-01-05T03:00:00.000Z,28.0
99,244,2018-01-05T03:00:00.000Z,2018-01-05T04:00:00.000Z,26.87999
100,244,2018-01-05T04:00:00.000Z,2018-01-05T05:00:00.000Z,27.66
101,244,2018-01-05T05:00:00.000Z,2018-01-05T06:00:00.000Z,28.64999
102,244,2018-01-05T06:00:00.000Z,2018-01-05T07:00:00.000Z,30.44
103,244,2018-01-05T07:00:00.000Z,2018-01-05T08:00:00.000Z,32.53
104,244,2018-01-05T08:00:00.000Z,2018-01-05T09:00:00.000Z,33.52
105,244,2018-01-05T09:00:00.000Z,2018-01-05T10:00:00.000Z,33.31
106,244,2018-01-05T10:00:00.000Z,2018-01-05T11:00:00.000Z,32.97999
107,244,2018-01-05T11:00:00.000Z,2018-01-05T12:00:00.000Z,32.88
108,244,2018-01-05T12:00:00.000Z,2018-01-05T13:00:00.000Z,32.84
109,244,2018-01-05T13:00:00.000Z,2018-01-05T14:00:00.000Z,32.86999
110,244,2018-01-05T14:00:00.000Z,2018-01-05T15:00:00.000Z,34.2
111,244,2018-01-05T15:00:00.000Z,2018-01-05T16:00:00.000Z,35.79999
112,244,2018-01-05T16:00:00.000Z,2018-01-05T17:00:00.000Z,37.29999
113,244,2018-01-05T17:00:00.000Z,2018-01-05T18:00:00.000Z,34.0
114,244,2018-01-05T18:00:00.000Z,2018-01-05T19:00:00.000Z,32.25
115,244,2018-01-05T19:00:00.000Z,2018-01-05T20:00:00.000Z,31.51
116,244,2018-01-05T20:00:00.000Z,2018-01-05T21:00:00.000Z,31.25
117,244,2018-01-05T21:00:00.000Z,2018-01-05T22:00:00.000Z,30.44
118,244,2018-01-05T22:00:00.000Z,2018-01-05T23:00:00.000Z,29.64
119,244,2018-01-05T23:00:00.000Z,2018-01-06T00:00:00.000Z,29.44999
120,244,2018-01-06T00:00:00.000Z,2018-01-06T01:00:00.000Z,28.55
121,244,2018-01-06T01:00:00.000Z,2018-01-06T02:00:00.000Z,28.18
122,244,2018-01-06T02:00:00.000Z,2018-01-06T03:00:00.000Z,28.0
123,244,2018-01-06T03:00:00.000Z,2018-01-06T04:00:00.000Z,28.14999
124,244,2018-01-06T04:00:00.000Z,2018-01-06T05:00:00.000Z,28.69999
125,244,2018-01-06T05:00:00.000Z,2018-01-06T06:00:00.000Z,29.48
126,244,2018-01-06T06:00:00.000Z,2018-01-06T07:00:00.000Z,30.35
127,244,2018-01-06T07:00:00.000Z,2018-01-06T08:00:00.000Z,30.37999
128,244,2018-01-06T08:00:00.000Z,2018-01-06T09:00:00.000Z,30.89999
129,244,2018-01-06T09:00:00.000Z,2018-01-06T10:00:00.000Z,31.89
130,244,2018-01-06T10:00:00.000Z,2018-01-06T11:00:00.000Z,32.85999
131,244,2018-01-06T11:00:00.000Z,2018-01-06T12:00:00.000Z,32.17
132,244,2018-01-06T12:00:00.000Z,2018-01-06T13:00:00.000Z,31.78999
133,244,2018-01-06T13:00:00.000Z,2018-01-06T14:00:00.000Z,31.77
134,244,2018-01-06T14:00:00.000Z,2018-01-06T15:00:00.000Z,33.04999
135,244,2018-01-06T15:00:00.000Z,2018-01-06T16:00:00.000Z,36.46999
136,244,2018-01-06T16:00:00.000Z,2018-01-06T17:00:00.000Z,36.53
137,244,2018-01-06T17:00:00.000Z,2018-01-06T18:00:00.000Z,34.45
138,244,2018-01-06T18:00:00.000Z,2018-01-06T19:00:00.000Z,31.93
